Time,Room,Title,Speaker,Audience,Description,title_norm,session_url
10:45–11:30am,Lyden,"Rebrand, Reskill, Rise: How GenAI Is Rewiring the Future of Work",Patrice Lindo,"Non-Technical ( 30-40 minutes ), Management/Administration, Business","Explore how generative AI is transforming the workplace, from personal branding to skill development and career advancement.","rebrand, reskill, rise: how genai is rewiring the future of work",/conference/session/Rebrand%2C%20Reskill%2C%20Rise%3A%20How%20GenAI%20Is%20Rewiring%20the%20Future%20of%20Work
10:45–11:30am,Dance LL07,Agentic AI Versioning: Architecting at Scale,Stephen Kaufman,"Technical ( 30-40 minutes ), Education, Government, Non-Profit, Management/Administration, Business, Industry","This session explores the emerging discipline of Agentic AI Versioning, where agents are not static deployments but dynamic entities that evolve across use cases, environments, and strategic goals.",agentic ai versioning: architecting at scale,/conference/session/Agentic%20AI%20Versioning%3A%20Architecting%20at%20Scale
10:45–11:30am,Dining,Integration of Earth Observation data into machine learning models for On-farm Decisions,Deepak Joshi,Technical ( 30-40 minutes ),"A crop yield prediction study using multi-source data fusion techniques that integrated diverse Earth observation datasets, including optical, SAR, and LiDAR remote sensing data.",integration of earth observation data into machine learning models for on-farm decisions,/conference/session/Integration%20of%20Earth%20Observation%20data%20into%20machine%20learning%20models%20for%20On-farm%20Decisions
11:45am–12:30pm,Woulfe South,AI in the Byline: Redefining Who Gets to Tell the Story,D'Shonda Brown,"Non-Technical ( 30-40 minutes ), Business","Exploring the intersection of AI and journalism, and how artificial intelligence is changing the landscape of storytelling and content creation.",the silent leak costing pi firms millions: how ai patches revenue holes you don't see,/conference/session/AI%20in%20the%20Byline%3A%20Redefining%20Who%20Gets%20to%20Tell%20the%20Story
11:45am–12:30pm,Scooters,AI at the Manufacturing Test Bench,Eric Lealos,"Technical ( 30-40 minutes ), Industry",Examining how AI is revolutionizing quality control and testing processes in manufacturing environments.,ai at the manufacturing test bench,/conference/session/AI%20at%20the%20Manufacturing%20Test%20Bench
11:45am–12:30pm,Lyden,AI-Assisted Engineering: How & where to use AI to enhance your developer workflow,Piers Concord,"Technical ( 30-40 minutes ), Business, Industry",Learn how to integrate AI tools into your engineering workflow to increase productivity and code quality.,ai solution delivery & development,/conference/session/AI-Assisted%20Engineering%3A%20How%20%26%20where%20to%20use%20AI%20to%20enhance%20your%20developer%20workflow
11:45am–12:30pm,Dance LL07,AI & the changing role of Supply Chain Plannerss,Ronald Okenfuss,"Non-Technical ( 30-40 minutes ), Business, Industry",How artificial intelligence is transforming supply chain planning and the evolving role of supply chain professionals.,ai & the changing role of supply chain plannerss,/conference/session/AI%20%26%20the%20changing%20role%20of%20Supply%20Chain%20Plannerss
11:45am–12:30pm,Dining,Peering into the multiverse: Agent-based simulation,Jett Robinson,"Technical ( 30-40 minutes ), Business",Exploring agent-based modeling and simulation techniques for understanding complex systems and scenarios.,peering into the multiverse: agent-based simulation,/conference/session/Peering%20into%20the%20multiverse%3A%20Agent-based%20simulation
1:15–2:00pm,Woulfe North,Beyond the Hype: Practical AI Integration in Business,Mike Jackson,"Non-Technical ( 30-40 minutes ), Management/Administration, Business",Practical strategies for integrating AI into business operations beyond the marketing hype.,a pragmatic guide to ai at scale: lessons from applying ai to enterprise systems,/conference/session/Beyond%20the%20Hype%3A%20Practical%20AI%20Integration%20in%20Business
1:15–2:00pm,Woulfe South,AI in the Garage: How Artificial Intelligence is Reshaping Technical Education,Matt Boudinot,"Non-Technical ( 30-40 minutes ), Education, Business",Exploring how AI is transforming technical education and hands-on learning environments.,"trust, but verify: evaluating the evaluators of llms",/conference/session/AI%20in%20the%20Garage%3A%20How%20Artificial%20Intelligence%20is%20Reshaping%20Technical%20Education
1:15–2:00pm,Scooters,The Architecture of Prevention: Designing Mental Health Support for a Fractured System,Melody Mejeh,"Non-Technical ( 30-40 minutes ), Management/Administration, Business",We've built a mental health system that waits. This talk introduces prevention as a platform—using AI to catch subtle behavioral signals before crisis and provide real-time support.,beyond the algorithm: why 85% of ai projects fail and how to beat the odds,/conference/session/The%20Architecture%20of%20Prevention%3A%20Designing%20Mental%20Health%20Support%20for%20a%20Fractured%20System
1:15–2:00pm,Lyden,Reap What You Sow: Cultivating Your Company's Operating Model Is a Must in the Age of AI,Jesse Rosel,"Non-Technical ( 30-40 minutes ), Management/Administration, Business",Understanding how to evolve your company's operating model to thrive in an AI-driven business landscape.,regulating ai in international legal frameworks: challenges and opportunities for digital sovereignty,/conference/session/Reap%20What%20You%20Sow%3A%20Cultivating%20Your%20Company's%20Operating%20Model%20Is%20a%20Must%20in%20the%20Age%20of%20AI
1:15–2:00pm,Dance LL07,AI for Impact: Fixing the Web's 96% Accessibility Gap,Nishit Bhasin,"Technical ( 30-40 minutes ), Education, Government, Non-Profit",How AI can help address the massive accessibility gap on the web and make digital content more inclusive.,ai for impact: fixing the web's 96% accessibility gap,/conference/session/AI%20for%20Impact%3A%20Fixing%20the%20Web's%2096%25%20Accessibility%20Gap
1:15–2:00pm,Dining,Building Production‑Grade AI Agents,Adam Terlson,Technical ( 30-40 minutes ),"Prototyping an AI agent is easy—running AI-powered applications reliably in production is not. This talk shares practical tools, patterns, and strategies for building and operating agentic systems that can scale.",invisible ai: boosting office productivity & driving public ai literacy,/conference/session/Building%20Production%E2%80%91Grade%20AI%20Agents
2:15–3:00pm,Woulfe North,The Human Side of AI Adoption,Nick Roseth,"Non-Technical ( 30-40 minutes ), Management/Administration, Business",Exploring the people and culture challenges in AI adoption and how to address them effectively.,building optimizations for latency sensitive agents,/conference/session/The%20Human%20Side%20of%20AI%20Adoption
2:15–3:00pm,Woulfe South,Cutting Through the Noise: A Values-First Approach to AI Curation,Justin Piehowski,"Non-Technical ( 30-40 minutes ), Management/Administration, Business",A framework for curating and selecting AI tools based on organizational values and needs.,stop using ai & start using aie (an integrated environment),/conference/session/Cutting%20Through%20the%20Noise%3A%20A%20Values-First%20Approach%20to%20AI%20Curation
2:15–3:00pm,Scooters,From Text to Structure: Unlocking AI's Hidden Superpower,Scott Bromander,"Technical ( 30-40 minutes ), Business",Exploring structured outputs and how they unlock new capabilities in AI applications.,from text to structure: unlocking ai's hidden superpower,/conference/session/From%20Text%20to%20Structure%3A%20Unlocking%20AI's%20Hidden%20Superpower
2:15–3:00pm,Lyden,"Creativity, Curiosity, and Competency in the Age of Generative Tools",Alexandra Holter with Holly Skadsem and Andrew Rummel,"Non-Technical ( 30-40 minutes ), Education",Developing the human skills needed to work effectively with generative AI tools in education and beyond.,"strategic ai leadership: building student, teacher, and administrator competencies",/conference/session/Creativity%2C%20Curiosity%2C%20and%20Competency%20in%20the%20Age%20of%20Generative%20Tools
2:15–3:00pm,Dance LL07,AI-Assisted Skill Practice: Redefining Roleplay,Tyler Moberg,"Non-Technical ( 30-40 minutes ), Education, Business",Using AI to create realistic practice scenarios for skill development and training.,trace ai infra - ai infrastructure monitoring tool,/conference/session/AI-Assisted%20Skill%20Practice%3A%20Redefining%20Roleplay
2:15–3:00pm,Dining,Conclusions from the implementation of LLM-based systems for international companies,Jakub Orczyk,"Technical ( 30-40 minutes ), Business, Government",Learn how different business needs shaped entirely different LLM implementations for a pharmaceutical factory and software company—from on-site RAG systems to cloud-based support tools.,llms as the missing link: from paper forms to automated flows,/conference/session/Conclusions%20from%20the%20implementation%20of%20LLM-based%20systems%20for%20international%20companies

3:15–4:00pm,Woulfe South,"Click, Snap, Sell: How AI is Replacing Product Data Entry",Graham Wood,"Non-Technical ( 30-40 minutes ), Business",How AI is automating product data entry in e-commerce and retail.,"click, snap, sell: how ai is replacing product data entry",/conference/session/Click%2C%20Snap%2C%20Sell%3A%20How%20AI%20is%20Replacing%20Product%20Data%20Entry
3:15–4:00pm,Lyden,Mini Workshop - Vibe Coding: Ship the Feel Before the Feature,Matt Pacyga,Non-Technical ( 30-40 minutes ),"Vibe Coding is a tactical, interactive mini-workshop designed to help anyone create functional, compelling user experiences without deep technical expertise.",mini workshop - vibe coding: ship the feel before the feature,/conference/session/Mini%20Workshop%20-%20Vibe%20Coding%3A%20Ship%20the%20Feel%20Before%20the%20Feature
3:15–4:00pm,Dance LL07,Moving from AI Experimentation to Enterprise AI Solutions,Bharath Krishnamurthy,"Technical ( 30-40 minutes ), Business, Industry",Strategies for transitioning from AI proof-of-concepts to production enterprise solutions.,moving from ai experimentation to enterprise ai solutions,/conference/session/Moving%20from%20AI%20Experimentation%20to%20Enterprise%20AI%20Solutions
3:15–4:00pm,Dining,Larry's Engineering Odyssey,Ron Tatro and Rob Leach,"Non-Technical ( 30-40 minutes ), Government, Management/Administration, Business, Industry","At Target, empowering engineers with timely, actionable insights isn't just a goal; it's a necessity. This talk explores AI-powered innovation in engineering operations.",larry's engineering odyssey,/conference/session/Larry's%20Engineering%20Odyssey
4:15–5:00pm,Woulfe North,The Easiest Way to Run LLMs Locally: Meet Docker Model Runner,Steve Buchanan,"Technical ( 30-40 minutes ), Industry",A practical guide to running large language models locally using Docker.,the easiest way to run llms locally: meet docker model runner,/conference/session/The%20Easiest%20Way%20to%20Run%20LLMs%20Locally%3A%20Meet%20Docker%20Model%20Runner
4:15–5:00pm,Woulfe South,Talk Nerdy To Me: Generative AI You'll Actually Use,Paula Skoviera,"Non-Technical ( 30-40 minutes ), Business",Practical applications of generative AI that solve real problems.,talk nerdy to me: generative ai you'll actually use,/conference/session/Talk%20Nerdy%20To%20Me%3A%20Generative%20AI%20You'll%20Actually%20Use
4:15–5:00pm,Scooters,AI Is Taking My Job! A Spirited Debate on the Future of Work,Justin Grammens,"Non-Technical ( 30-40 minutes ), Management/Administration, Business","Join us for a lively, interactive debate on one of the most pressing questions of our time: Is AI taking our jobs—or creating new opportunities? This session features experts from diverse industries who will present opposing perspectives on automation, workforce displacement, and the evolving role of humans in an AI-driven economy.",ai is taking my job! a spirited debate on the future of work,/conference/session/AI%20Is%20Taking%20My%20Job!%20A%20Spirited%20Debate%20on%20the%20Future%20of%20Work

4:15–5:00pm,Dining,Invisible AI: Boosting Office Productivity & Driving Public AI Literacy,Zac Engler,"Non-Technical ( 30-40 minutes ), Government, Business","Discover how to implement low-friction AI tools that boost office productivity by 10-20% while building broader AI literacy and safer development practices.",turboaq,/conference/session/Invisible%20AI%3A%20Boosting%20Office%20Productivity%20%26%20Driving%20Public%20AI%20Literacy
